"english_name","id","major","English","Spanish","German","French","Arabic","Bosnian","Bulgarian","Catalan","Czech","Slavic","Welsh","Danish","Greek","Esperanto","Estonian","Basque","Persian","Finnish","Irish","Hebrew","Hindi","Croatian","Hungarian","Armenian","Indonesian","Icelandic","Italian","Japanese","Korean","Kurdish","Latin","Latvian","Lithuanian","Macedonian","Maltese","Moldavian","Mongolian","Nepali","Dutch","Norwegian","Panjabi","Polish","Portuguese","Quechua","Romanian","Russian","Slovenian","Somali","Albanian","Serbian","Swedish","Tamil","Thai","Turkish","Ukrainian","Urdu","Uzbek","Vietnamese","Yiddish","Chinese (Simplified)","Zulu"
"English",1,1,"English","Inglés","Englisch","Anglais",,,,,,,,,"Αγγλικα",,,,,,,,,,,,,,"Inglese","英語",,,,,,,,,,,"Engels",,,,"Inglês",,,"Английский",,,,,,,,,,,,,,"英语",
"Spanish",2,1,"Spanish","Español","Spanisch","Espagnol",,,,,,,,,"Ισπανικα",,,,,,,,,,,,,,"Spagnolo","スペイン語",,,,,,,,,,,"Spaans",,,,"Espanhol",,,"Испанский",,,,,,,,,,,,,,"西班牙语",
"German",3,1,"German","Alemán","Deutsch","Allemand",,,,,,,,,"Γερμανικα",,,,,,,,,,,,,,"Tedesco","ドイツ語",,,,,,,,,,,"Duits",,,,"Alemão",,,"Немецкий",,,,,,,,,,,,,,"德语",
"French",4,1,"French","Francés","Französisch","Français",,,,,,,,,"Γαλλικα",,,,,,,,,,,,,,"Francese","フランス語",,,,,,,,,,,"Frans",,,,"Francês",,,"Французский",,,,,,,,,,,,,,"法语",
"Arabic",5,,"Arabic","Árabe","Arabisch","Arabe",,,,,,,,,"Αραβικα",,,,,,,,,,,,,,"Arabo","アラビア語",,,,,,,,,,,"Arabisch",,,,"Árabe",,,"Арабский",,,,,,,,,,,,,,"阿拉伯语",
"Bosnian",6,,"Bosnian","Bosnio","Bosnisch","Bosniaque",,,,,,,,,"Βοσνιακα",,,,,,,,,,,,,,"Bosniaco","ボスニア",,,,,,,,,,,"Bosnisch",,,,"Bósnio",,,"Боснийский",,,,,,,,,,,,,,"波黑",
"Bulgarian",7,,"Bulgarian","Búlgaro","Bulgarisch","Bulgare",,,,,,,,,"Βουλγαρικα",,,,,,,,,,,,,,"Bulgaro","ブルガリア語",,,,,,,,,,,"Bulgaars",,,,"Búlgaro",,,"Болгарский",,,,,,,,,,,,,,"保加利亚语",
"Catalan",8,,"Catalan","Catalán","Katalanisch","Catalan",,,,,,,,,"Καταλανικα",,,,,,,,,,,,,,"Catalano","カタロニア語",,,,,,,,,,,"Catalaans",,,,"Catalão",,,"Каталонский",,,,,,,,,,,,,,"加泰罗尼亚语",
"Czech",9,,"Czech","Checa","Tschechische","Tchèque",,,,,,,,,"Τσεχικη",,,,,,,,,,,,,,"Ceca","チェコ",,,,,,,,,,,"Tsjechisch",,,,"Checa",,,"Чешская",,,,,,,,,,,,,,"捷克",
"Slavic",10,,"Slavic","Eslavas","Slawisch","Slave",,,,,,,,,"Σλαβικη",,,,,,,,,,,,,,"Slava","スラブ",,,,,,,,,,,"Slavisch",,,,"Eslava",,,"Славянских",,,,,,,,,,,,,,"斯拉夫",
